,_0_14eves,_15_18eves,_19_30eves,_31_62eves,_63_Xeves,kerulet,nepesseg,nmar,telepules,x,y
6776,0,0,9,4,0,,13,280.0,Mosonmagyaróvár,517700.0,283600.0
6777,3,0,1,6,2,,12,320.0,Mosonmagyaróvár,517700.0,283900.0
6778,2,1,1,5,0,,9,320.0,Mosonmagyaróvár,517700.0,284000.0
6779,1,1,2,6,3,,13,280.0,Mosonmagyaróvár,517700.0,284100.0
6780,5,1,2,10,9,,27,280.0,Mosonmagyaróvár,517700.0,284200.0
6781,9,1,2,11,1,,24,280.0,Mosonmagyaróvár,517700.0,284300.0
6782,6,2,8,14,1,,31,280.0,Mosonmagyaróvár,517700.0,284400.0
6783,4,0,18,34,0,,56,280.0,Mosonmagyaróvár,517700.0,284500.0
6784,0,0,0,2,0,,2,280.0,Mosonmagyaróvár,517800.0,280000.0
6785,0,0,1,2,0,,3,280.0,Mosonmagyaróvár,517800.0,280100.0
6786,21,5,17,29,8,,80,280.0,Mosonmagyaróvár,517800.0,280200.0
6787,12,3,8,28,3,,54,280.0,Mosonmagyaróvár,517800.0,280300.0
6788,23,3,22,68,5,,121,220.0,Mosonmagyaróvár,517800.0,280400.0
6789,5,6,6,26,2,,45,290.0,Mosonmagyaróvár,517800.0,280500.0
6790,16,3,13,35,9,,76,290.0,Mosonmagyaróvár,517800.0,280600.0
6791,6,1,6,9,5,,27,290.0,Mosonmagyaróvár,517800.0,280700.0
6792,3,0,4,10,9,,26,280.0,Mosonmagyaróvár,517800.0,280900.0
