,AREA,FEAT_TYPE,POLYGON_NM,geometry
10,375434,LAKE,,"POLYGON ((18.17386 45.83654, 18.17404 45.8352, 18.1733 45.8352, 18.1716 45.83522, 18.17011 45.83474, 18.16929 45.83413, 18.16856 45.83321, 18.16843 45.83232, 18.1697 45.83159, 18.17173 45.83117, 18.1735 45.83115, 18.1747 45.83117, 18.17503 45.82946, 18.17333 45.82932, 18.17071 45.82934, 18.16874 45.82966, 18.16719 45.83049, 18.16635 45.83158, 18.16627 45.83283, 18.16648 45.83372, 18.16719 45.8346, 18.16808 45.83527, 18.16907 45.83582, 18.16995 45.83631, 18.17049 45.83656, 18.17168 45.83666, 18.17372 45.83655, 18.17386 45.83654))"
11,209852,LAKE,,"POLYGON ((18.17496 45.83128, 18.17571 45.83142, 18.17664 45.83143, 18.17775 45.83133, 18.17897 45.83101, 18.17944 45.83091, 18.17978 45.83091, 18.17987 45.83152, 18.17878 45.83257, 18.17789 45.83339, 18.17732 45.83387, 18.17656 45.8345, 18.17603 45.83483, 18.17546 45.83502, 18.17435 45.83516, 18.1741 45.8365, 18.1759 45.83615, 18.17685 45.83562, 18.17757 45.83514, 18.1784 45.83429, 18.17887 45.83365, 18.17969 45.83299, 18.18035 45.8324, 18.18122 45.83158, 18.18012 45.83072, 18.18005 45.83026, 18.17974 45.82987, 18.17878 45.82959, 18.17541 45.82945, 18.17497 45.8311, 18.17496 45.83128))"
12,72510,RIVER,MURA,"POLYGON ((16.87332 46.34354, 16.87265 46.34384, 16.87079 46.34394, 16.87111 46.34406, 16.87238 46.34422, 16.87386 46.34361, 16.87524 46.34235, 16.87574 46.34114, 16.87538 46.33983, 16.87469 46.33938, 16.87255 46.33818, 16.87155 46.3374, 16.8711 46.33744, 16.87105 46.33755, 16.87209 46.33869, 16.87438 46.33969, 16.87503 46.34024, 16.87496 46.34136, 16.87374 46.34305, 16.87332 46.34354))"
13,121894,RIVER,MURA,"POLYGON ((16.86724 46.35115, 16.86676 46.35335, 16.86671 46.35469, 16.86581 46.35531, 16.86465 46.35539, 16.86291 46.35462, 16.86011 46.35325, 16.85752 46.35198, 16.85515 46.35105, 16.85557 46.35169, 16.85699 46.35241, 16.85763 46.35287, 16.85838 46.35311, 16.85929 46.35355, 16.86323 46.35581, 16.86492 46.35588, 16.86614 46.35565, 16.8667 46.35521, 16.86703 46.35471, 16.86728 46.35425, 16.86732 46.35357, 16.86757 46.35251, 16.86728 46.35129, 16.86724 46.35115))"
14,15551,LAKE,SMARAGDVÖLGY-HORGÁSZTÓ,"POLYGON ((21.60831 48.41827, 21.60759 48.41774, 21.60627 48.41864, 21.60693 48.41909, 21.60831 48.41827))"
15,1291403,LAKE,,"POLYGON ((22.45986 47.9642, 22.45997 47.96404, 22.46014 47.96414, 22.46034 47.9642, 22.46064 47.96402, 22.46127 47.96334, 22.46143 47.96287, 22.46139 47.96247, 22.46116 47.96173, 22.46092 47.9611, 22.46078 47.96079, 22.46057 47.96053, 22.46026 47.96023, 22.46012 47.9601, 22.45963 47.95978, 22.45925 47.95964, 22.45776 47.95936, 22.45621 47.95919, 22.45529 47.95912, 22.4546 47.95913, 22.45381 47.9592, 22.45286 47.95936, 22.45198 47.9596, 22.45043 47.96023, 22.45003 47.96023, 22.44976 47.96013, 22.44941 47.95981, 22.44925 47.95942, 22.44928 47.95919, 22.44947 47.95856, 22.45016 47.95734, 22.45064 47.95676, 22.45144 47.95568, 22.45225 47.95475, 22.45272 47.95439, 22.45345 47.95392, 22.45409 47.95353, 22.4544 47.95316, 22.45451 47.95272, 22.45446 47.9522, 22.45414 47.95145, 22.4538 47.95121, 22.45336 47.95114, 22.45261 47.95114, 22.45179 47.95117, 22.45107 47.95128, 22.45035 47.95145, 22.4493 47.95176, 22.44812 47.95215, 22.44706 47.95242, 22.44673 47.95253, 22.44648 47.95272, 22.44597 47.95307, 22.44555 47.95333, 22.44518 47.95346, 22.44477 47.95345, 22.44436 47.95332, 22.44407 47.95306, 22.44395 47.9527, 22.44405 47.95243, 22.44428 47.9522, 22.44462 47.95146, 22.44498 47.95121, 22.4451 47.95088, 22.44523 47.95027, 22.44519 47.94972, 22.44507 47.94949, 22.44519 47.94894, 22.44518 47.94848, 22.445 47.948, 22.44474 47.94759, 22.44451 47.94734, 22.44414 47.94704, 22.44363 47.94678, 22.44278 47.94655, 22.44121 47.94626, 22.44032 47.94611, 22.43984 47.94607, 22.43913 47.946, 22.43801 47.94594, 22.43646 47.94593, 22.43515 47.94603, 22.43377 47.94622, 22.4328 47.94649, 22.43201 47.94679, 22.43075 47.94737, 22.43036 47.94738, 22.42997 47.94719, 22.42991 47.94696, 22.43001 47.9465, 22.43018 47.94612, 22.43061 47.94566, 22.43131 47.94436, 22.43161 47.94324, 22.43187 47.94213, 22.43191 47.94156, 22.43185 47.94098, 22.43164 47.94046, 22.43134 47.93979, 22.43125 47.93923, 22.43134 47.9389, 22.43163 47.9387, 22.43214 47.93846, 22.43287 47.93833, 22.434 47.93825, 22.43485 47.93815, 22.43575 47.9381, 22.43686 47.93796, 22.43799 47.93779, 22.43966 47.9374, 22.44083 47.93705, 22.44187 47.93659, 22.44247 47.93618, 22.44288 47.93577, 22.44332 47.93517, 22.44354 47.93473, 22.44376 47.93443, 22.44412 47.93416, 22.44464 47.93419, 22.44498 47.93428, 22.44531 47.93448, 22.44586 47.93513, 22.44617 47.9354, 22.4466 47.93602, 22.44693 47.93668, 22.44736 47.93745, 22.44757 47.93798, 22.44794 47.93845, 22.44829 47.93884, 22.44873 47.93924, 22.44922 47.93974, 22.44959 47.94006, 22.45004 47.94048, 22.45049 47.9407, 22.45106 47.94081, 22.45188 47.94083, 22.45247 47.94073, 22.45497 47.94006, 22.45574 47.93963, 22.45685 47.93891, 22.45751 47.93846, 22.45783 47.93821, 22.45802 47.93806, 22.45857 47.93754, 22.45913 47.93721, 22.46054 47.93663, 22.46113 47.93632, 22.46145 47.93611, 22.46091 47.93592, 22.46049 47.93582, 22.46025 47.93593, 22.45986 47.9362, 22.45925 47.93657, 22.45866 47.93688, 22.45808 47.93707, 22.45646 47.93789, 22.45598 47.93818, 22.45396 47.93933, 22.45325 47.93972, 22.45271 47.93996, 22.45231 47.94002, 22.45162 47.94008, 22.45103 47.94003, 22.45057 47.93984, 22.45006 47.93958, 22.4496 47.93904, 22.44902 47.93829, 22.44856 47.93765, 22.44841 47.93739, 22.4481 47.93674, 22.44781 47.93623, 22.44727 47.93511, 22.44688 47.93441, 22.44656 47.93399, 22.44633 47.93377, 22.44616 47.93363, 22.4457 47.93336, 22.44528 47.93322, 22.44456 47.93306, 22.44433 47.93322, 22.44386 47.93349, 22.44354 47.93377, 22.44328 47.93411, 22.44294 47.93441, 22.44231 47.9352, 22.44192 47.93545, 22.44127 47.93579, 22.44071 47.93605, 22.43946 47.93649, 22.43746 47.93689, 22.43656 47.93713, 22.43594 47.9372, 22.4353 47.93734, 22.43465 47.93736, 22.4332 47.93742, 22.43232 47.93761, 22.43148 47.93783, 22.43109 47.93801, 22.43071 47.93832, 22.43035 47.93876, 22.43027 47.93916, 22.43032 47.93949, 22.43056 47.94, 22.43081 47.94007, 22.43085 47.94021, 22.43086 47.94042, 22.4308 47.94096, 22.43054 47.9421, 22.43035 47.94257, 22.42992 47.94349, 22.42976 47.94388, 22.42969 47.94397, 22.42932 47.94447, 22.42878 47.94543, 22.42876 47.94582, 22.42879 47.94632, 22.42856 47.94675, 22.42826 47.94715, 22.4282 47.94738, 22.42842 47.9477, 22.42891 47.94798, 22.42936 47.94819, 22.4295 47.9482, 22.42989 47.94823, 22.4303 47.94818, 22.431 47.94789, 22.43237 47.94739, 22.43287 47.94723, 22.43362 47.94698, 22.43465 47.94684, 22.43683 47.94664, 22.43824 47.94662, 22.43972 47.94676, 22.44137 47.94696, 22.44216 47.94721, 22.44287 47.94747, 22.44362 47.94784, 22.44398 47.94835, 22.44422 47.94874, 22.44428 47.94918, 22.4442 47.9497, 22.44406 47.95, 22.44402 47.95051, 22.44364 47.95114, 22.44339 47.95142, 22.44319 47.95149, 22.44297 47.95171, 22.44281 47.9521, 22.4426 47.95236, 22.44223 47.95267, 22.44212 47.95304, 22.44226 47.95339, 22.44256 47.95368, 22.44314 47.95395, 22.44378 47.95417, 22.44489 47.95415, 22.44554 47.954, 22.44625 47.95362, 22.44705 47.95323, 22.44785 47.95301, 22.44867 47.95285, 22.44986 47.95252, 22.45117 47.9521, 22.45174 47.95198, 22.45267 47.95201, 22.45324 47.95216, 22.45353 47.95241, 22.45354 47.95281, 22.45337 47.95314, 22.45312 47.95337, 22.45241 47.95392, 22.45086 47.95498, 22.45035 47.95545, 22.45011 47.95576, 22.44974 47.95633, 22.44934 47.95684, 22.44881 47.95736, 22.4485 47.95775, 22.44829 47.95818, 22.44819 47.95885, 22.44811 47.95943, 22.44821 47.95996, 22.44857 47.96036, 22.44905 47.96068, 22.44961 47.96088, 22.45031 47.96092, 22.45084 47.96077, 22.45144 47.96042, 22.452 47.9602, 22.45251 47.96021, 22.45294 47.96008, 22.45351 47.96003, 22.45482 47.96002, 22.45562 47.95999, 22.45747 47.96019, 22.45828 47.96032, 22.45904 47.9606, 22.45974 47.96105, 22.46003 47.96126, 22.46029 47.96168, 22.46038 47.9626, 22.46036 47.96298, 22.46019 47.96336, 22.45984 47.9637, 22.45962 47.96382, 22.45956 47.96389, 22.45979 47.964, 22.45968 47.96414, 22.45955 47.96422, 22.45915 47.96407, 22.45798 47.96459, 22.45727 47.96495, 22.45632 47.96541, 22.45569 47.96579, 22.45519 47.96621, 22.45468 47.9668, 22.45424 47.96739, 22.45391 47.96814, 22.45379 47.96852, 22.45386 47.96917, 22.454 47.96978, 22.45428 47.97036, 22.45448 47.97096, 22.45479 47.97127, 22.45592 47.97109, 22.45606 47.97102, 22.45596 47.9707, 22.4556 47.9701, 22.45528 47.96998, 22.45482 47.96928, 22.45489 47.96857, 22.45549 47.96731, 22.45605 47.96667, 22.45679 47.96606, 22.45764 47.96558, 22.45851 47.96504, 22.45978 47.96444, 22.45985 47.96438, 22.45978 47.96428, 22.45986 47.9642))"
16,201951,LAKE,,"POLYGON ((16.63689 47.02922, 16.63753 47.02921, 16.63819 47.02881, 16.63837 47.02845, 16.63831 47.0279, 16.6369 47.02634, 16.63665 47.026, 16.63602 47.02615, 16.63517 47.02618, 16.63414 47.02612, 16.63321 47.02589, 16.63247 47.02539, 16.63171 47.02515, 16.63146 47.02539, 16.63183 47.02564, 16.6322 47.02567, 16.63218 47.02578, 16.63204 47.02585, 16.63176 47.02588, 16.63113 47.02555, 16.63067 47.02607, 16.63047 47.02596, 16.6313 47.02519, 16.63117 47.025, 16.63134 47.02473, 16.63153 47.02444, 16.63101 47.02432, 16.62993 47.02533, 16.62976 47.02531, 16.6301 47.02494, 16.62987 47.0248, 16.62933 47.02525, 16.62933 47.02552, 16.63052 47.02641, 16.63225 47.02712, 16.63303 47.02655, 16.63343 47.02668, 16.63289 47.02746, 16.63429 47.02808, 16.63463 47.02779, 16.63516 47.02789, 16.63546 47.02795, 16.63631 47.02744, 16.63631 47.0277, 16.63563 47.02812, 16.63494 47.02809, 16.63472 47.02808, 16.63454 47.0283, 16.63461 47.02839, 16.63525 47.02875, 16.63689 47.02922))"
17,17675,LAKE,,"POLYGON ((19.26627 47.38848, 19.26602 47.38855, 19.26567 47.38872, 19.26562 47.38896, 19.26565 47.38909, 19.26575 47.38955, 19.26604 47.38999, 19.26717 47.38932, 19.26714 47.38925, 19.26692 47.38897, 19.26678 47.38883, 19.26649 47.38858, 19.26635 47.38849, 19.26627 47.38848))"
18,30232,LAKE,,"POLYGON ((17.08798 46.94454, 17.08814 46.94469, 17.08816 46.94477, 17.08829 46.94491, 17.08855 46.9451, 17.08876 46.94522, 17.08888 46.94525, 17.089 46.94523, 17.08915 46.94518, 17.0892 46.94513, 17.0892 46.94505, 17.08915 46.94493, 17.08908 46.94478, 17.08901 46.94463, 17.08897 46.94446, 17.08899 46.94429, 17.08903 46.94407, 17.08899 46.94381, 17.08891 46.94363, 17.08885 46.94355, 17.08876 46.9435, 17.08839 46.94344, 17.08759 46.94333, 17.08699 46.94324, 17.08683 46.94326, 17.08676 46.94329, 17.08674 46.94336, 17.08681 46.94347, 17.08696 46.94359, 17.08714 46.94374, 17.0875 46.94409, 17.08785 46.94442, 17.08798 46.94454))"
19,63036,LAKE,,"POLYGON ((20.62685 46.56663, 20.6271 46.56632, 20.6271 46.56615, 20.62708 46.56598, 20.62695 46.56578, 20.62685 46.5657, 20.62673 46.56565, 20.62554 46.56564, 20.62547 46.56567, 20.62519 46.566, 20.62511 46.56626, 20.6251 46.56656, 20.62499 46.56665, 20.62471 46.5667, 20.62449 46.56703, 20.62453 46.56722, 20.62451 46.56742, 20.62457 46.56771, 20.62466 46.56783, 20.62474 46.56789, 20.62543 46.56804, 20.62577 46.56816, 20.62684 46.56831, 20.6273 46.56834, 20.62739 46.5683, 20.62747 46.56813, 20.62745 46.56797, 20.62739 46.56772, 20.62727 46.56758, 20.62707 46.56742, 20.62703 46.5674, 20.62634 46.56752, 20.62606 46.56677, 20.62685 46.56663))"
